Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key    xf-clarky-il-500000
Airfoil    clarky-il
Reynolds number    500000
Ncrit    9
Mach    0
Max Cl/Cd    98.6585
Max Cl/Cd alpha    3.75





Alpha    Cl    Cd
-180.0    -0.3940    0.08504
-9.250    -0.3940    0.08504
-9.000    -0.4033    0.08275
-8.750    -0.4929    0.04594
-8.500    -0.4974    0.03456
-8.250    -0.4759    0.02994
-8.000    -0.4463    0.02768
-7.750    -0.4301    0.02331
-7.500    -0.4024    0.02155
-7.250    -0.3722    0.02018
-7.000    -0.3479    0.01919
-6.750    -0.3205    0.01829
-6.500    -0.2942    0.01724
-6.250    -0.2696    0.01629
-6.000    -0.2426    0.01543
-5.750    -0.2181    0.01471
-5.500    -0.1915    0.01408
-5.250    -0.1658    0.01361
-5.000    -0.1391    0.01312
-4.750    -0.1139    0.01244
-4.500    -0.0885    0.01171
-4.250    -0.0629    0.01125
-4.000    -0.0363    0.01091
-3.750    -0.0102    0.01061
-3.500    0.0167    0.01036
-3.250    0.0438    0.01016
-3.000    0.0703    0.00985
-2.750    0.0975    0.00965
-2.500    0.1243    0.00942
-2.250    0.1510    0.00915
-2.000    0.1774    0.00887
-1.750    0.2037    0.00859
-1.500    0.2303    0.00838
-1.250    0.2571    0.00820
-1.000    0.2836    0.00799
-0.750    0.3095    0.00774
-0.500    0.3338    0.00732
-0.250    0.3551    0.00684
0.000    0.3760    0.00652
0.250    0.4107    0.00654
0.500    0.4534    0.00663
0.750    0.5065    0.00669
1.000    0.5439    0.00675
1.250    0.5687    0.00682
1.500    0.5934    0.00691
1.750    0.6180    0.00699
2.000    0.6426    0.00708
2.250    0.6670    0.00719
2.500    0.6912    0.00732
2.750    0.7151    0.00746
3.000    0.7389    0.00761
3.250    0.7624    0.00779
3.500    0.7857    0.00799
3.750    0.8090    0.00820
4.000    0.8315    0.00848
4.250    0.8536    0.00880
4.500    0.8757    0.00914
4.750    0.8987    0.00945
5.000    0.9220    0.00976
5.250    0.9457    0.01004
5.500    0.9697    0.01032
5.750    0.9940    0.01057
6.000    1.0185    0.01082
6.250    1.0426    0.01108
6.500    1.0671    0.01132
6.750    1.0910    0.01160
7.000    1.1155    0.01183
7.250    1.1388    0.01212
7.500    1.1627    0.01238
7.750    1.1866    0.01263
8.000    1.2096    0.01293
8.250    1.2317    0.01328
8.500    1.2520    0.01375
8.750    1.2691    0.01442
9.000    1.2847    0.01519
9.250    1.2999    0.01594
9.500    1.3150    0.01659
9.750    1.3299    0.01726
10.000    1.3447    0.01794
10.250    1.3602    0.01858
10.500    1.3747    0.01929
10.750    1.3868    0.02016
11.000    1.3917    0.02153
11.250    1.3923    0.02324
11.500    1.3998    0.02452
11.750    1.4079    0.02581
12.000    1.4163    0.02711
12.250    1.4223    0.02865
12.500    1.4251    0.03050
12.750    1.4237    0.03282
13.000    1.4287    0.03464
13.250    1.4317    0.03673
13.500    1.4329    0.03907
13.750    1.4323    0.04167
14.000    1.4303    0.04452
14.250    1.4269    0.04763
14.500    1.4220    0.05103
14.750    1.4153    0.05481
15.000    1.4066    0.05897
15.250    1.3959    0.06349
15.500    1.3832    0.06838
15.750    1.3730    0.07302
16.000    1.3700    0.07690
16.250    1.3662    0.08095
16.500    1.3615    0.08517
16.750    1.3564    0.08948
17.000    1.3510    0.09382
180       1.3510    0.09382
