AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.04.2020 at 19:12:08 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.64          Angle of attack for zero Cn for linear Cn curve (deg)
6.29913        Cn slope for zero lift for linear Cn curve (1/rad)
0.8376         Cn at stall value for positive angle of attack for linear Cn curve
-0.7899        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0120         Minimum CD value
   -180.00   -0.1107    0.0060
   -179.00   -0.0230    0.0065
   -178.00    0.0622    0.0081
   -177.00    0.1389    0.0108
   -176.00    0.1988    0.0145
   -175.00    0.2366    0.0192
   -174.00    0.2550    0.0250
   -173.00    0.2622    0.0318
   -172.00    0.2660    0.0396
   -171.00    0.2710    0.0484
   -170.00    0.2787    0.0583
   -169.00    0.2893    0.0691
   -168.00    0.3021    0.0808
   -167.00    0.3165    0.0935
   -166.00    0.3321    0.1072
   -165.00    0.3482    0.1217
   -164.00    0.3645    0.1372
   -163.00    0.3806    0.1535
   -162.00    0.3965    0.1707
   -161.00    0.4119    0.1887
   -160.00    0.4267    0.2075
   -159.00    0.4408    0.2271
   -158.00    0.4541    0.2475
   -157.00    0.4665    0.2686
   -156.00    0.4781    0.2904
   -155.00    0.4887    0.3128
   -154.00    0.4985    0.3359
   -153.00    0.5072    0.3597
   -152.00    0.5151    0.3840
   -151.00    0.5219    0.4089
   -150.00    0.5278    0.4343
   -149.00    0.5328    0.4602
   -148.00    0.5368    0.4866
   -147.00    0.5399    0.5134
   -146.00    0.5421    0.5406
   -145.00    0.5434    0.5681
   -144.00    0.5438    0.5960
   -143.00    0.5433    0.6242
   -142.00    0.5420    0.6527
   -141.00    0.5399    0.6814
   -140.00    0.5370    0.7103
   -139.00    0.5334    0.7393
   -138.00    0.5290    0.7685
   -137.00    0.5239    0.7977
   -136.00    0.5182    0.8270
   -135.00    0.5117    0.8563
   -134.00    0.5047    0.8856
   -133.00    0.4971    0.9148
   -132.00    0.4889    0.9440
   -131.00    0.4801    0.9730
   -130.00    0.4709    1.0019
   -129.00    0.4612    1.0305
   -128.00    0.4510    1.0590
   -127.00    0.4405    1.0872
   -126.00    0.4295    1.1150
   -125.00    0.4181    1.1426
   -124.00    0.4065    1.1698
   -123.00    0.3945    1.1966
   -122.00    0.3822    1.2229
   -121.00    0.3697    1.2488
   -120.00    0.3569    1.2743
   -119.00    0.3439    1.2992
   -118.00    0.3307    1.3235
   -117.00    0.3173    1.3473
   -116.00    0.3038    1.3704
   -115.00    0.2901    1.3930
   -114.00    0.2764    1.4149
   -113.00    0.2625    1.4360
   -112.00    0.2485    1.4565
   -111.00    0.2345    1.4763
   -110.00    0.2198    1.4953
   -109.00    0.2057    1.5135
   -108.00    0.1915    1.5309
   -107.00    0.1774    1.5475
   -106.00    0.1632    1.5632
   -105.00    0.1490    1.5781
   -104.00    0.1349    1.5921
   -103.00    0.1208    1.6052
   -102.00    0.1067    1.6174
   -101.00    0.0926    1.6287
   -100.00    0.0786    1.6390
    -99.00    0.0646    1.6484
    -98.00    0.0506    1.6569
    -97.00    0.0368    1.6643
    -96.00    0.0229    1.6708
    -95.00    0.0092    1.6763
    -94.00   -0.0045    1.6808
    -93.00   -0.0182    1.6844
    -92.00   -0.0318    1.6869
    -91.00   -0.0453    1.6884
    -90.00   -0.0587    1.6889
    -89.00   -0.0721    1.6884
    -88.00   -0.0853    1.6869
    -87.00   -0.0985    1.6843
    -86.00   -0.1117    1.6808
    -85.00   -0.1247    1.6763
    -84.00   -0.1377    1.6708
    -83.00   -0.1505    1.6643
    -82.00   -0.1633    1.6568
    -81.00   -0.1760    1.6484
    -80.00   -0.1886    1.6390
    -79.00   -0.2011    1.6287
    -78.00   -0.2134    1.6174
    -77.00   -0.2257    1.6052
    -76.00   -0.2379    1.5920
    -75.00   -0.2499    1.5780
    -74.00   -0.2618    1.5631
    -73.00   -0.2736    1.5474
    -72.00   -0.2852    1.5308
    -71.00   -0.2967    1.5134
    -70.00   -0.3080    1.4952
    -69.00   -0.3191    1.4762
    -68.00   -0.3301    1.4564
    -67.00   -0.3409    1.4359
    -66.00   -0.3514    1.4147
    -65.00   -0.3618    1.3929
    -64.00   -0.3719    1.3703
    -63.00   -0.3818    1.3471
    -62.00   -0.3915    1.3234
    -61.00   -0.4008    1.2990
    -60.00   -0.4099    1.2741
    -59.00   -0.4187    1.2487
    -58.00   -0.4272    1.2228
    -57.00   -0.4354    1.1964
    -56.00   -0.4432    1.1696
    -55.00   -0.4506    1.1424
    -54.00   -0.4577    1.1148
    -53.00   -0.4644    1.0869
    -52.00   -0.4707    1.0587
    -51.00   -0.4765    1.0303
    -50.00   -0.4819    1.0016
    -49.00   -0.4869    0.9727
    -48.00   -0.4913    0.9436
    -47.00   -0.4953    0.9145
    -46.00   -0.4987    0.8852
    -45.00   -0.5017    0.8559
    -44.00   -0.5041    0.8265
    -43.00   -0.5059    0.7972
    -42.00   -0.5071    0.7679
    -41.00   -0.5078    0.7387
    -40.00   -0.5079    0.7096
    -39.00   -0.5074    0.6806
    -38.00   -0.5062    0.6519
    -37.00   -0.5045    0.6233
    -36.00   -0.5021    0.5951
    -35.00   -0.4991    0.5671
    -34.00   -0.4955    0.5394
    -33.00   -0.4913    0.5120
    -32.00   -0.4866    0.4850
    -31.00   -0.4812    0.4585
    -30.00   -0.4754    0.4323
    -29.00   -0.4692    0.4066
    -28.00   -0.4626    0.3814
    -27.00   -0.4559    0.3567
    -26.00   -0.4490    0.3324
    -25.00   -0.4425    0.3087
    -24.00   -0.4365    0.2854
    -23.00   -0.4317    0.2625
    -22.00   -0.4290    0.2401
    -21.00   -0.4294    0.2178
    -20.00   -0.4351    0.1957
    -19.00   -0.4490    0.1735
    -18.00   -0.4754    0.1506
    -17.00   -0.5208    0.1266
    -16.00   -0.5918    0.1011
    -15.00   -0.6900    0.0743
    -14.00   -0.7983    0.0485
    -13.00   -0.8723    0.0283
    -12.00   -0.8716    0.0271
    -11.00   -0.8021    0.0232
    -10.00   -0.6996    0.0224
     -9.00   -0.5898    0.0224
     -8.00   -0.4798    0.0223
     -7.00   -0.3698    0.0223
     -6.00   -0.2598    0.0223
     -5.00   -0.1498    0.0222
     -4.00   -0.0398    0.0222
     -3.00    0.0702    0.0221
     -2.00    0.1802    0.0221
     -1.00    0.2902    0.0220
      0.00    0.4002    0.0220
      1.00    0.5102    0.0220
      2.00    0.6202    0.0221
      3.00    0.7300    0.0221
      4.00    0.8388    0.0222
      4.50    0.8936    0.0213
      5.00    0.9358    0.0219
      5.50    0.9769    0.0226
      6.00    1.0114    0.0238
      6.50    1.0443    0.0249
      7.00    1.0746    0.0260
