AeroDyn airfoil file Created with QBlade v0.963 64bit on 07.04.2020 at 10:42:36 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.98          Angle of attack for zero Cn for linear Cn curve (deg)
8.97761        Cn slope for zero lift for linear Cn curve (1/rad)
1.0039         Cn at stall value for positive angle of attack for linear Cn curve
-0.3607        Cn at stall value for negative angle of attack for linear Cn curve
-6.00          Angle of attack for minimum CD (deg)
0.0138         Minimum CD value
   -180.00   -0.0922    0.0060
   -179.00    0.0092    0.0065
   -178.00    0.1086    0.0081
   -177.00    0.1988    0.0107
   -176.00    0.2680    0.0143
   -175.00    0.3074    0.0190
   -174.00    0.3194    0.0246
   -173.00    0.3164    0.0313
   -172.00    0.3098    0.0390
   -171.00    0.3062    0.0477
   -170.00    0.3074    0.0573
   -169.00    0.3131    0.0679
   -168.00    0.3225    0.0795
   -167.00    0.3345    0.0920
   -166.00    0.3482    0.1054
   -165.00    0.3630    0.1197
   -164.00    0.3783    0.1349
   -163.00    0.3937    0.1509
   -162.00    0.4091    0.1678
   -161.00    0.4241    0.1855
   -160.00    0.4386    0.2040
   -159.00    0.4525    0.2232
   -158.00    0.4657    0.2432
   -157.00    0.4782    0.2640
   -156.00    0.4898    0.2854
   -155.00    0.5006    0.3074
   -154.00    0.5105    0.3302
   -153.00    0.5194    0.3535
   -152.00    0.5275    0.3774
   -151.00    0.5346    0.4018
   -150.00    0.5408    0.4268
   -149.00    0.5461    0.4523
   -148.00    0.5504    0.4782
   -147.00    0.5539    0.5045
   -146.00    0.5564    0.5313
   -145.00    0.5581    0.5583
   -144.00    0.5588    0.5858
   -143.00    0.5588    0.6135
   -142.00    0.5579    0.6414
   -141.00    0.5561    0.6696
   -140.00    0.5536    0.6980
   -139.00    0.5503    0.7266
   -138.00    0.5463    0.7552
   -137.00    0.5416    0.7840
   -136.00    0.5361    0.8127
   -135.00    0.5300    0.8416
   -134.00    0.5232    0.8703
   -133.00    0.5159    0.8991
   -132.00    0.5079    0.9277
   -131.00    0.4993    0.9563
   -130.00    0.4903    0.9846
   -129.00    0.4807    1.0128
   -128.00    0.4706    1.0408
   -127.00    0.4601    1.0685
   -126.00    0.4491    1.0959
   -125.00    0.4378    1.1229
   -124.00    0.4260    1.1497
   -123.00    0.4139    1.1760
   -122.00    0.4015    1.2019
   -121.00    0.3887    1.2274
   -120.00    0.3757    1.2524
   -119.00    0.3624    1.2768
   -118.00    0.3489    1.3008
   -117.00    0.3351    1.3242
   -116.00    0.3212    1.3469
   -115.00    0.3071    1.3691
   -114.00    0.2928    1.3906
   -113.00    0.2783    1.4114
   -112.00    0.2638    1.4315
   -111.00    0.2491    1.4510
   -110.00    0.2336    1.4696
   -109.00    0.2188    1.4875
   -108.00    0.2039    1.5046
   -107.00    0.1890    1.5209
   -106.00    0.1740    1.5364
   -105.00    0.1590    1.5511
   -104.00    0.1439    1.5648
   -103.00    0.1289    1.5777
   -102.00    0.1138    1.5897
   -101.00    0.0988    1.6008
   -100.00    0.0838    1.6110
    -99.00    0.0688    1.6202
    -98.00    0.0538    1.6285
    -97.00    0.0389    1.6358
    -96.00    0.0240    1.6422
    -95.00    0.0092    1.6476
    -94.00   -0.0056    1.6521
    -93.00   -0.0203    1.6555
    -92.00   -0.0349    1.6580
    -91.00   -0.0495    1.6595
    -90.00   -0.0639    1.6600
    -89.00   -0.0783    1.6595
    -88.00   -0.0927    1.6580
    -87.00   -0.1069    1.6555
    -86.00   -0.1210    1.6521
    -85.00   -0.1350    1.6476
    -84.00   -0.1489    1.6422
    -83.00   -0.1627    1.6358
    -82.00   -0.1764    1.6285
    -81.00   -0.1900    1.6202
    -80.00   -0.2034    1.6109
    -79.00   -0.2167    1.6008
    -78.00   -0.2298    1.5897
    -77.00   -0.2429    1.5777
    -76.00   -0.2557    1.5648
    -75.00   -0.2684    1.5510
    -74.00   -0.2809    1.5363
    -73.00   -0.2933    1.5209
    -72.00   -0.3055    1.5046
    -71.00   -0.3174    1.4874
    -70.00   -0.3292    1.4695
    -69.00   -0.3408    1.4509
    -68.00   -0.3521    1.4314
    -67.00   -0.3632    1.4113
    -66.00   -0.3741    1.3905
    -65.00   -0.3847    1.3689
    -64.00   -0.3950    1.3468
    -63.00   -0.4050    1.3240
    -62.00   -0.4148    1.3006
    -61.00   -0.4242    1.2767
    -60.00   -0.4334    1.2522
    -59.00   -0.4421    1.2272
    -58.00   -0.4506    1.2017
